RANK,NAME,POSITION,SCHOOL
1,"Fernando Mendoza","QB","Indiana"
2,"Arvell Reese","LB","Ohio State"
3,"David Bailey","ED","Texas Tech"
4,"Jeremiyah Love","RB","Notre Dame"
5,"Francis Mauigoa","OT","Miami (FL)"
6,"Sonny Styles","LB","Ohio State"
7,"Carnell Tate","WR","Ohio State"
8,"Rueben Bain","ED","Miami (FL)"
9,"Caleb Downs","DS","Ohio State"
10,"Mansoor Delane","CB","LSU"
11,"Spencer Fano","OT","Utah"
12,"Monroe Freeling","OT","Georgia"
13,"Makai Lemon","WR","USC"
14,"Jermod McCoy","CB","Tennessee"
15,"Jordyn Tyson","WR","Arizona State"
16,"Olaivavega Ioane","OG","Penn State"
17,"Kenyon Sadiq","TE","Oregon"
18,"Dillon Thieneman","DS","Oregon"
19,"Kadyn Proctor","OT","Alabama"
20,"Keldric Faulk","ED","Auburn"
21,"Akheem Mesidor","ED","Miami (FL)"
22,"Omar Cooper Jr.","WR","Indiana"
23,"Emmanuel McNeil-Warren","DS","Toledo"
24,"Blake Miller","OT","Clemson"
25,"Caleb Lomu","OT","Utah"
26,"Kevin Concepcion","WR","Texas A&M"
27,"Avieon Terrell","CB","Clemson"
28,"Peter Woods","DI","Clemson"
29,"T.J. Parker","ED","Clemson"
30,"Denzel Boston","WR","Washington"
31,"Kayden McDonald","DI","Ohio State"
32,"Cashius Howell","ED","Texas A&M"
33,"Ty Simpson","QB","Alabama"
34,"C.J. Allen","LB","Georgia"
35,"Colton Hood","CB","Tennessee"
36,"Max Iheanachor","OT","Arizona State"
37,"Zion Young","ED","Missouri"
38,"Caleb Banks","DI","Florida"
39,"Chris Johnson","CB","San Diego State"
40,"Chase Bisontis","OG","Texas A&M"
41,"Emmanuel Pregnon","OG","Oregon"
42,"Brandon Cisse","CB","South Carolina"
43,"Malachi Lawrence","ED","UCF"
44,"Jacob Rodriguez","LB","Texas Tech"
45,"Jadarian Price","RB","Notre Dame"
46,"Christen Miller","DI","Georgia"
47,"R Mason Thomas","ED","Oklahoma"
48,"Anthony Hill Jr.","LB","Texas"
49,"Lee Hunter","DI","Texas Tech"
50,"Gabe Jacas","ED","Illinois"
51,"Eli Stowers","TE","Vanderbilt"
52,"D'angelo Ponds","CB","Indiana"
53,"Chris Bell","WR","Louisville"
54,"Jake Golday","LB","Cincinnati"
55,"Chris Brazzell","WR","Tennessee"
56,"A.J. Haulcy","DS","LSU"
57,"Keylan Rutledge","OG","Georgia Tech"
58,"Treydan Stukes","CB","Arizona"
59,"Germie Bernard","WR","Alabama"
60,"Gennings Dunker","OT","Iowa"
61,"Keionte Scott","CB","Miami (FL)"
62,"Zachariah Branch","WR","Georgia"
63,"Derrick Moore","ED","Michigan"
64,"Josiah Trotter","LB","Missouri"
65,"Caleb Tiernan","OT","Northwestern"
66,"Connor Lew","OC","Auburn"
67,"Domonique Orange","DI","Iowa State"
68,"Mike Washington Jr.","RB","Arkansas"
69,"Keith Abney II","CB","Arizona State"
70,"Max Klare","TE","Ohio State"
71,"Dani Dennis-Sutton","ED","Penn State"
72,"Gracen Halton","DI","Oklahoma"
73,"Kyle Louis","LB","Pittsburgh"
74,"Antonio Williams","WR","Clemson"
75,"Malachi Fields","WR","Notre Dame"
76,"Romello Height","ED","Texas Tech"
77,"Elijah Sarratt","WR","Indiana"
78,"Davison Igbinosun","CB","Ohio State"
79,"Ted Hurst","WR","Georgia State"
80,"Darrell Jackson Jr.","DI","Florida State"
81,"Sam Hecht","OC","Kansas State"
82,"Skyler Bell","WR","UConn"
83,"Joshua Josephs","ED","Tennessee"
84,"Garrett Nussmeier","QB","LSU"
85,"Kamari Ramsey","DS","USC"
86,"Bud Clark","DS","TCU"
87,"Oscar Delp","TE","Georgia"
88,"Jaishawn Barham","LB","Michigan"
